Title,Description,Parent Issue ID,Priority,Labels
GROW-M5-1: CSV Lot Import Endpoint,"**Role:** Backend
**Branch:** `backend/M5-csv-import`

## Acceptance Criteria
- [ ] POST /api/admin/import/lots endpoint
- [ ] Accepts CSV with columns: customerName, productName, originalBags, lodgementDate, rentalMode, rentalAmount
- [ ] Validates all rows before importing
- [ ] Returns success count + error list
- [ ] Logs import to audit_log
- [ ] Handles 500+ lots efficiently

## Deliverables
- Working CSV import endpoint tested",GROCOLD-6,1,Backend
GROW-M5-2: CSV Upload UI,"**Role:** Frontend
**Branch:** `frontend/M5-csv-upload`

## Acceptance Criteria
- [ ] Admin page with file picker
- [ ] Drag-and-drop CSV upload
- [ ] Shows preview of 5 rows before submit
- [ ] Progress bar during import
- [ ] Success notification + error list display
- [ ] Mobile responsive

## Deliverables
- Full CSV upload UI working",GROCOLD-6,2,Frontend
GROW-M5-3: Rent Accrual Job,"**Role:** Backend
**Branch:** `backend/M5-rent-accrual-job`

## Acceptance Criteria
- [ ] Edge Function for nightly rent accrual
- [ ] Handles MONTHLY: Creates accrual 1 day after lodgement, then monthly
- [ ] Handles YEARLY: Creates accrual 1 month after lodgement, then yearly on cutoff date
- [ ] Handles BROUGHT_FORWARD: Manual trigger only
- [ ] Skips lots with chargesFrozen=true
- [ ] Logs all accruals to rent_accruals table
- [ ] Idempotent (safe to run multiple times)

## Deliverables
- Working rent accrual job",GROCOLD-6,1,Backend
GROW-M5-4: Job Monitoring & Alerts,"**Role:** DevOps/Backend
**Branch:** `backend/M5-monitoring`

## Acceptance Criteria
- [ ] Dashboard endpoint: GET /api/admin/jobs/status
- [ ] Returns last run time + status for: stale-check, rent-accrual, csv-import
- [ ] Alert if job hasn't run in 24+ hours
- [ ] Sentry integration for job failures
- [ ] Admin dashboard shows job health

## Deliverables
- Job monitoring live",GROCOLD-6,2,DevOps
GROW-M6-1: Unit Tests Backend,"**Role:** QA/Backend
**Branch:** `test/unit-backend`

## Acceptance Criteria
- [ ] 100% coverage on calculations: daysOld, daysUntilStale, outstanding, spoilageRiskLevel
- [ ] 100% coverage on auth middleware
- [ ] 100% coverage on API response formatting
- [ ] Tests use Jest + Supertest
- [ ] Target: >90% overall backend coverage
- [ ] All tests passing

## Deliverables
- Unit tests with >90% coverage",GROCOLD-7,1,Testing
GROW-M6-2: Integration Tests,"**Role:** QA
**Branch:** `test/integration`

## Acceptance Criteria
- [ ] Delivery flow: Record 3 deliveries, verify lot updates correctly
- [ ] Payment flow: Record payment, verify FIFO allocation, lot clears
- [ ] Offline sync: Queue 10 deliveries, sync, verify all created
- [ ] Stale detection: Create lot, simulate 181 days, verify STALE status
- [ ] Owner override: Block delivery, override, verify log
- [ ] All tests passing

## Deliverables
- Integration test suite",GROCOLD-7,1,Testing
GROW-M6-3: E2E Tests (Cypress),"**Role:** QA
**Branch:** `test/e2e`

## Acceptance Criteria
- [ ] Scenario 1: Login → View lots → Filter → See details → Pass
- [ ] Scenario 2: Record delivery (normal) → Sync offline delivery → Pass
- [ ] Scenario 3: Final delivery blocked → Override as owner → Pass
- [ ] Scenario 4: Record payment → Auto-allocate FIFO → Lot cleared → Pass
- [ ] All scenarios on staging environment
- [ ] Tests run in CI/CD

## Deliverables
- Full E2E test suite passing",GROCOLD-7,1,Testing
GROW-M6-4: Load Testing,"**Role:** QA
**Branch:** `test/load`

## Acceptance Criteria
- [ ] 10,000 lots in database
- [ ] GET /api/lots query: <100ms p95
- [ ] Outstanding calculation: <50ms p95
- [ ] 100 concurrent users: <200ms p95 latency
- [ ] Zero errors under load
- [ ] Report: Performance profile

## Deliverables
- Load test results + performance profile",GROCOLD-7,2,Testing
GROW-M6-5: Security Audit,"**Role:** QA/DevOps
**Branch:** `test/security`

## Acceptance Criteria
- [ ] RLS policies verified (users see only their warehouse)
- [ ] No SQL injection vectors
- [ ] No data leaks in error messages
- [ ] JWT validation on all endpoints
- [ ] CORS configured correctly
- [ ] Rate limiting in place
- [ ] Audit trail complete

## Deliverables
- Security audit report + fixes applied",GROCOLD-7,2,Testing
GROW-M6-6: Mobile E2E Tests,"**Role:** QA
**Branch:** `test/mobile-e2e`

## Acceptance Criteria
- [ ] React Native app tested on Android + iOS
- [ ] Delivery form works with fat fingers
- [ ] Offline delivery + sync works
- [ ] Crashes: Zero on critical flows
- [ ] App size: <50MB

## Deliverables
- Mobile E2E tests passing",GROCOLD-7,2,Testing
